Num	Loc	Z 3.5	Z 4.4144	Z 5.3288	Z 6.2432	Z 7.1576	Z 8.072	Z 8.9864	Z 9.9008	Z 10.8152	Z 11.7296	Z 12.644
53	214.9972	914.5795	914.5368	914.502	914.347	914.2531	914.2006	914.1803	914.1708	914.1814	914.2182	914.2863
54	215.9116	914.5983	914.5634	914.5101	914.3621	914.2791	914.205	914.2074	914.1971	914.2015	914.2491	914.3079
55	216.826	914.5932	914.5537	914.509	914.3525	914.2831	914.2242	914.186	914.1516	914.1547	914.2303	914.2587
56	217.7404	914.5931	914.5582	914.4846	914.3508	914.302	914.2106	914.1695	914.1535	914.1247	914.1822	914.2554
57	218.6548	914.5839	914.5658	914.5185	914.3619	914.2962	914.2136	914.1961	914.1663	914.1737	914.2047	914.2887
58	219.5692	914.5973	914.5743	914.5223	914.3823	914.2588	914.2216	914.1786	914.1862	914.1752	914.2469	914.2844
59	220.4836	914.5958	914.58	914.5049	914.3767	914.1962	914.1486	914.1566	914.1757	914.191	914.2603	914.2635
60	221.398	914.5861	914.566	914.5117	914.3781	914.1467	914.1118	914.122	914.1572	914.1287	914.19	914.2245
61	222.3124	914.5673	914.5526	914.4695	914.349	914.1543	914.105	914.1062	914.1493	914.1267	914.1365	914.2076
62	223.2268	914.5821	914.5616	914.5085	914.3775	914.2288	914.1379	914.1272	914.1613	914.1455	914.1911	914.2306
63	224.1412	914.5985	914.5599	914.5139	914.3889	914.234	914.201	914.1781	914.1779	914.1824	914.2254	914.2733
64	225.0556	914.5717	914.5432	914.4996	914.3444	914.2567	914.1951	914.1555	914.1567	914.1512	914.2167	914.2494
65	225.97	914.55	914.5325	914.4908	914.3696	914.2634	914.2031	914.1351	914.1412	914.1257	914.1812	914.2249
66	226.8844	914.548	914.531	914.4825	914.3751	914.2245	914.1956	914.1322	914.1481	914.1378	914.1769	914.2481
67	227.7988	914.5712	914.5452	914.4722	914.3697	914.2308	914.1849	914.144	914.1424	914.1586	914.1981	914.2853
68	228.7132	914.578	914.5546	914.4843	914.3801	914.235	914.1979	914.1384	914.1547	914.1609	914.2099	914.2704
69	229.6276	914.5615	914.5386	914.4766	914.2786	914.2086	914.1581	914.1105	914.1045	914.1306	914.1822	914.2128
70	230.542	914.5502	914.5273	914.4272	914.3337	914.1891	914.1496	914.0994	914.0848	914.0978	914.1534	914.2028
71	231.4564	914.5464	914.5201	914.4463	914.3049	914.1975	914.1225	914.0956	914.0858	914.1013	914.1295	914.2173
72	232.3708	914.5547	914.5289	914.4482	914.3293	914.2025	914.1386	914.0873	914.1067	914.1224	914.1436	914.2228
73	233.2852	914.5487	914.5285	914.4406	914.298	914.1847	914.1377	914.0773	914.0828	914.108	914.1245	914.1815
74	234.1996	914.5455	914.5351	914.4683	914.2918	914.1825	914.1443	914.0621	914.0708	914.0884	914.1111	914.1815
75	235.114	914.5406	914.5292	914.4323	914.3	914.1798	914.1448	914.0707	914.079	914.1056	914.1306	914.2007
76	236.0284	914.5433	914.5428	914.4305	914.3008	914.187	914.1731	914.1002	914.0908	914.1115	914.1422	914.198
77	236.9428	914.5314	914.5281	914.4312	914.262	914.1984	914.1654	914.1052	914.073	914.0998	914.1016	914.1862
78	237.8572	914.5353	914.5345	914.4312	914.296	914.2141	914.176	914.0938	914.0975	914.1101	914.1108	914.1877
79	238.7716	914.5427	914.5316	914.4175	914.2775	914.1791	914.1457	914.0983	914.0912	914.0936	914.1047	914.1819
80	239.686	914.5069	914.49	914.3973	914.24	914.1697	914.0796	914.0665	914.0398	914.0515	914.0862	914.1161
81	240.6004	914.5184	914.4991	914.4081	914.2638	914.1628	914.1165	914.088	914.0546	914.0765	914.1076	914.1317
82	241.5148	914.5211	914.5013	914.4186	914.2239	914.1914	914.149	914.1027	914.0629	914.0933	914.114	914.1442
83	242.4292	914.5436	914.5174	914.4538	914.3163	914.2369	914.1782	914.1342	914.1248	914.1268	914.1783	914.2129
84	243.3436	914.5197	914.5059	914.4622	914.2979	914.2382	914.1473	914.0923	914.0995	914.11	914.1368	914.1591
85	244.258	914.5116	914.5046	914.4364	914.2645	914.2123	914.1428	914.0932	914.0856	914.0763	914.132	914.1708
86	245.1724	914.5232	914.511	914.449	914.3357	914.2111	914.1357	914.0893	914.0698	914.0923	914.1228	914.1808
87	246.0868	914.5204	914.5177	914.4313	914.2981	914.1442	914.1058	914.0912	914.0641	914.0923	914.1195	914.1625
88	247.0012	914.5273	914.5175	914.4244	914.2659	914.1467	914.1166	914.0592	914.0499	914.0676	914.0999	914.1339
89	247.9156	914.5204	914.5228	914.4121	914.2914	914.1669	914.1173	914.0699	914.0664	914.0657	914.1063	914.1341
90	248.83	914.5181	914.5159	914.4267	914.2704	914.2072	914.1076	914.0651	914.0693	914.068	914.1324	914.1533
91	249.7444	914.5063	914.5023	914.4209	914.2333	914.1351	914.0776	914.0442	914.0352	914.0341	914.0739	914.1179
92	250.6588	914.4989	914.5094	914.3915	914.2394	914.1196	914.0816	914.03	914.0445	914.0402	914.0691	914.0804
93	251.5732	914.5054	914.5176	914.3964	914.2592	914.1458	914.0892	914.0574	914.0469	914.0613	914.097	914.104
94	252.4876	914.511	914.5057	914.4271	914.2705	914.1768	914.1048	914.0746	914.0625	914.0888	914.1091	914.1277
95	253.402	914.5015	914.4894	914.4186	914.2471	914.1406	914.1068	914.074	914.0818	914.063	914.0971	914.1358
96	254.3164	914.4729	914.4636	914.3801	914.1832	914.1243	914.0694	914.044	914.0367	914.0379	914.0242	914.0579
97	255.2308	914.459	914.4572	914.3621	914.2166	914.1248	914.0668	914.0414	914.0134	914.0178	914.0209	914.0561
98	256.1452	914.4698	914.4671	914.3533	914.2197	914.1412	914.084	914.0597	914.0307	914.0448	914.0756	914.0995
99	257.0596	914.4803	914.4719	914.4169	914.276	914.1379	914.1041	914.0762	914.0681	914.0598	914.0862	914.1302
100	257.974	914.4833	914.476	914.4303	914.2499	914.1404	914.0964	914.0692	914.0797	914.0732	914.11	914.113
101	258.8884	914.4612	914.4573	914.3761	914.2451	914.1384	914.058	914.0244	914.0037	914.0048	914.0295	914.0518
102	259.8028	914.4506	914.4479	914.348	914.2158	914.0686	914.0529	913.9989	913.9798	913.9429	913.9348	913.9868
103	260.7172	914.4586	914.4539	914.3806	914.207	914.1203	914.0552	914.0104	913.9797	913.9665	914.0072	914.0209
104	261.6316	914.4608	914.4567	914.383	914.2106	914.1308	914.0706	914.0281	913.9872	913.981	913.9827	914.0496
105	262.546	914.4568	914.4567	914.3762	914.2195	914.1271	914.0757	914.0552	913.9984	913.9825	913.9943	914.035
106	263.4604	914.455	914.4525	914.3745	914.1967	914.1125	914.088	914.0695	914.0062	913.9898	914.0162	914.0275
107	264.3748	914.4524	914.4449	914.3678	914.2065	914.1022	914.0729	914.083	914.0242	914.0161	914.0338	914.0569
108	265.2892	914.4337	914.434	914.3479	914.161	914.1158	914.0768	914.0131	914.0004	914.0269	913.9998	914.0174
109	266.2036	914.4258	914.4193	914.3344	914.1788	914.1068	914.0464	914.0242	913.9742	913.9968	914.0154	914.0118
110	267.118	914.4244	914.4324	914.3336	914.1987	914.1212	914.0435	914.0201	914.0045	914.0021	914.019	914.0378
111	268.0324	914.4294	914.4315	914.3624	914.2102	914.103	914.0417	914.0434	914.0482	914.0463	914.0497	914.0679
112	268.9468	914.4304	914.4302	914.3346	914.1936	914.1089	914.0505	914.0394	914.0274	914.0296	914.0499	914.0816
113	269.8612	914.4188	914.4072	914.3301	914.1685	914.0922	914.0069	914.0091	914.0049	913.9908	914.0218	914.0294
114	270.7756	914.4183	914.4098	914.3401	914.1548	914.1032	914.0118	914.0067	913.9788	913.9996	913.9965	914.0063
115	271.69	914.4033	914.3982	914.3155	914.1603	914.0693	914.0032	913.9651	913.976	913.9612	913.9874	913.9889
